key,subject,category,subtopic,difficulty,estimatedSeconds,correctChoice,workflowStatus,publishable,requiresAttorneyApproval
orig-civpro-004,Civil Procedure,Jurisdiction and venue,Federal subject-matter jurisdiction - aggregation of claims,MEDIUM,105,B,LEGAL_REVIEW,False,True
orig-civpro-005,Civil Procedure,Jurisdiction and venue,Venue - substantial part of events or omissions,EASY,95,D,LEGAL_REVIEW,False,True
orig-civpro-006,Civil Procedure,Jurisdiction and venue,Service of process - service at an individual’s dwelling,EASY,95,A,LEGAL_REVIEW,False,True
orig-civpro-007,Civil Procedure,Pretrial procedures,Amended pleadings - relation back when the wrong defendant was named,HARD,125,C,LEGAL_REVIEW,False,True
orig-civpro-008,Civil Procedure,Pretrial procedures,Compulsory counterclaims - claims arising from the same transaction,MEDIUM,115,B,LEGAL_REVIEW,False,True
orig-civpro-009,Civil Procedure,Motions,Summary judgment - nonmovant may not rely on pleadings alone,MEDIUM,110,A,LEGAL_REVIEW,False,True
orig-civpro-010,Civil Procedure,Jury trials,Right to jury trial - mixed legal and equitable claims,MEDIUM,115,B,LEGAL_REVIEW,False,True
orig-civpro-011,Civil Procedure,Motions,Renewed judgment as a matter of law - prerequisite pre-verdict motion,MEDIUM,100,D,LEGAL_REVIEW,False,True
orig-civpro-012,Civil Procedure,Verdicts and judgments,Claim preclusion - omitted damages from the same transaction,MEDIUM,110,A,LEGAL_REVIEW,False,True
orig-civpro-013,Civil Procedure,Appealability and review,Interlocutory appeal - preliminary injunction,EASY,90,C,LEGAL_REVIEW,False,True
orig-conlaw-004,Constitutional Law,The nature of judicial review,Standing - environmental and recreational injury,MEDIUM,110,B,LEGAL_REVIEW,False,True
orig-conlaw-005,Constitutional Law,The nature of judicial review,Mootness - voluntary cessation,MEDIUM,105,D,LEGAL_REVIEW,False,True
orig-conlaw-006,Constitutional Law,The separation of powers,Congressional spending power - conditions on federal funds,MEDIUM,115,A,LEGAL_REVIEW,False,True
orig-conlaw-007,Constitutional Law,The relation of nation and states in a federal system,Anti-commandeering - orders to state legislatures,EASY,95,C,LEGAL_REVIEW,False,True
orig-conlaw-008,Constitutional Law,The separation of powers,Appointments Clause - congressional appointment of executive officers,MEDIUM,110,B,LEGAL_REVIEW,False,True
orig-conlaw-009,Constitutional Law,Individual rights,Equal protection - sex classifications,MEDIUM,110,D,LEGAL_REVIEW,False,True
orig-conlaw-010,Constitutional Law,Individual rights,Procedural due process - pretermination opportunity to respond,MEDIUM,110,A,LEGAL_REVIEW,False,True
orig-conlaw-011,Constitutional Law,Individual rights,Takings - permanent physical occupation,EASY,95,C,LEGAL_REVIEW,False,True
orig-conlaw-012,Constitutional Law,Individual rights,Free Exercise Clause - neutral and generally applicable law,MEDIUM,105,A,LEGAL_REVIEW,False,True
orig-conlaw-013,Constitutional Law,Individual rights,Freedom of expression - content-neutral parade permitting,MEDIUM,115,D,LEGAL_REVIEW,False,True
orig-contracts-004,Contracts,Formation of contracts,Revocation - reliable indirect information,MEDIUM,105,C,LEGAL_REVIEW,False,True
orig-contracts-005,Contracts,Formation of contracts,Option contracts - acceptance effective upon receipt,MEDIUM,100,A,LEGAL_REVIEW,False,True
orig-contracts-006,Contracts,Formation of contracts,Promissory estoppel - foreseeable reliance,MEDIUM,115,D,LEGAL_REVIEW,False,True
orig-contracts-007,Contracts,Defenses to enforceability,Unilateral mistake - knowledge by the other party,MEDIUM,115,B,LEGAL_REVIEW,False,True
orig-contracts-008,Contracts,Contract content and meaning,Parol evidence - fully integrated agreement and prior contradictory term,MEDIUM,110,C,LEGAL_REVIEW,False,True
orig-contracts-009,Contracts,"Performance, breach, and discharge",Substantial performance - construction contract,MEDIUM,105,A,LEGAL_REVIEW,False,True
orig-contracts-010,Contracts,"Performance, breach, and discharge",Anticipatory repudiation - retraction,MEDIUM,105,D,LEGAL_REVIEW,False,True
orig-contracts-011,Contracts,Remedies,Consequential damages - foreseeability at contract formation,MEDIUM,115,B,LEGAL_REVIEW,False,True
orig-contracts-012,Contracts,Formation of contracts,UCC battle of the forms - material additional term,HARD,125,C,LEGAL_REVIEW,False,True
orig-contracts-013,Contracts,"Performance, breach, and discharge",UCC risk of loss - merchant seller,MEDIUM,105,A,LEGAL_REVIEW,False,True
orig-crim-004,Criminal Law and Procedure,Homicide,Voluntary manslaughter - adequate provocation and no cooling time,MEDIUM,105,D,LEGAL_REVIEW,False,True
orig-crim-005,Criminal Law and Procedure,Other crimes,Larceny by trick - fraudulent acquisition of possession,MEDIUM,105,B,LEGAL_REVIEW,False,True
orig-crim-006,Criminal Law and Procedure,Other crimes,Common-law burglary - breaking and entering with felonious intent,EASY,95,C,LEGAL_REVIEW,False,True
orig-crim-007,Criminal Law and Procedure,Inchoate crimes; parties,Attempt - factual impossibility,MEDIUM,100,A,LEGAL_REVIEW,False,True
orig-crim-008,Criminal Law and Procedure,Inchoate crimes; parties,Solicitation - completion and nonmerger when request is refused,EASY,95,D,LEGAL_REVIEW,False,True
orig-crim-009,Criminal Law and Procedure,Constitutional protection of accused persons,Terry stop and frisk - reasonable suspicion of crime and danger,MEDIUM,110,B,LEGAL_REVIEW,False,True
orig-crim-010,Criminal Law and Procedure,Constitutional protection of accused persons,Automobile exception - scope of search,MEDIUM,105,C,LEGAL_REVIEW,False,True
orig-crim-011,Criminal Law and Procedure,Constitutional protection of accused persons,Miranda - public safety exception,MEDIUM,100,A,LEGAL_REVIEW,False,True
orig-crim-012,Criminal Law and Procedure,Constitutional protection of accused persons,Sixth Amendment right to counsel - postindictment lineup,MEDIUM,105,D,LEGAL_REVIEW,False,True
orig-crim-013,Criminal Law and Procedure,Constitutional protection of accused persons,Double jeopardy - retrial after a deadlocked jury,EASY,90,B,LEGAL_REVIEW,False,True
orig-evidence-004,Evidence,Presentation of evidence,Refreshing recollection - use of a writing,MEDIUM,105,B,LEGAL_REVIEW,False,True
orig-evidence-005,Evidence,Presentation of evidence,Impeachment - conviction requiring a dishonest act or false statement,MEDIUM,110,D,LEGAL_REVIEW,False,True
orig-evidence-006,Evidence,Relevancy and reasons for excluding relevant evidence,Habit evidence - regular response to a repeated situation,EASY,95,A,LEGAL_REVIEW,False,True
orig-evidence-007,Evidence,Relevancy and reasons for excluding relevant evidence,Other-acts evidence - identity through distinctive method,HARD,120,C,LEGAL_REVIEW,False,True
orig-evidence-008,Evidence,Relevancy and reasons for excluding relevant evidence,Expert testimony - reliance on otherwise inadmissible information,MEDIUM,115,B,LEGAL_REVIEW,False,True
orig-evidence-009,Evidence,Privileges and other policy exclusions,Compromise negotiations - statements and offers,MEDIUM,110,D,LEGAL_REVIEW,False,True
orig-evidence-010,Evidence,Privileges and other policy exclusions,Attorney-client privilege - voluntary disclosure to a third party,MEDIUM,105,C,LEGAL_REVIEW,False,True
orig-evidence-011,Evidence,"Writings, recordings, and photographs",Original-writing rule - witness with personal knowledge of an event,EASY,95,A,LEGAL_REVIEW,False,True
orig-evidence-012,Evidence,Hearsay and circumstances of its admissibility,Statements for medical diagnosis or treatment,MEDIUM,105,D,LEGAL_REVIEW,False,True
orig-evidence-013,Evidence,Hearsay and circumstances of its admissibility,Confrontation Clause - statements during an ongoing emergency,HARD,125,B,LEGAL_REVIEW,False,True
orig-property-004,Real Property,Ownership of real property,Future interests - contingent remainder subject to a condition precedent,MEDIUM,105,C,LEGAL_REVIEW,False,True
orig-property-005,Real Property,Ownership of real property,Cotenancy - duty to account for rents received from third parties,MEDIUM,105,A,LEGAL_REVIEW,False,True
orig-property-006,Real Property,Ownership of real property,Landlord-tenant - implied warranty of habitability,MEDIUM,110,D,LEGAL_REVIEW,False,True
orig-property-007,Real Property,Rights in real property,Prescriptive easement - exclusivity not required,MEDIUM,105,B,LEGAL_REVIEW,False,True
orig-property-008,Real Property,Rights in real property,Equitable servitudes - enforcement against a successor with notice,HARD,125,C,LEGAL_REVIEW,False,True
orig-property-009,Real Property,Real estate contracts,Marketable title - existing zoning violation,MEDIUM,105,A,LEGAL_REVIEW,False,True
orig-property-010,Real Property,Real estate contracts,Equitable conversion - risk of loss before closing,MEDIUM,110,D,LEGAL_REVIEW,False,True
orig-property-011,Real Property,Mortgages/security devices,Purchase-money mortgage - priority over prior judgment lien,HARD,120,B,LEGAL_REVIEW,False,True
orig-property-012,Real Property,Mortgages/security devices,Foreclosure - omitted junior mortgagee,MEDIUM,105,C,LEGAL_REVIEW,False,True
orig-property-013,Real Property,Titles,Adverse possession - tacking through privity,MEDIUM,105,A,LEGAL_REVIEW,False,True
orig-torts-004,Torts,Intentional torts,Assault - plaintiff must perceive imminent harmful or offensive contact,EASY,95,C,LEGAL_REVIEW,False,True
orig-torts-005,Torts,Intentional torts,Defense of property - deadly force not permitted solely to protect property,MEDIUM,100,B,LEGAL_REVIEW,False,True
orig-torts-006,Torts,Negligence,Land possessors - artificial conditions dangerous to child trespassers,MEDIUM,115,D,LEGAL_REVIEW,False,True
orig-torts-007,Torts,Negligence,Standard of care - child engaged in an adult activity,MEDIUM,100,A,LEGAL_REVIEW,False,True
orig-torts-008,Torts,Negligence,Res ipsa loquitur - accident ordinarily implying negligence,MEDIUM,105,C,LEGAL_REVIEW,False,True
orig-torts-009,Torts,Negligence,Proximate cause - rescue doctrine,MEDIUM,110,B,LEGAL_REVIEW,False,True
orig-torts-010,Torts,Negligence,Pure comparative fault - reduction rather than complete bar,EASY,90,D,LEGAL_REVIEW,False,True
orig-torts-011,Torts,Strict liability and products liability,Products liability - design defect and commercial seller liability,MEDIUM,115,A,LEGAL_REVIEW,False,True
orig-torts-012,Torts,Strict liability and products liability,Abnormally dangerous activities - blasting,EASY,95,C,LEGAL_REVIEW,False,True
orig-torts-013,Torts,Other torts,Defamation - public official and actual malice,HARD,120,B,LEGAL_REVIEW,False,True
